sample_id,group,original_text,domain,emotion_true,llm_raw_output,malformation_type,stage1_output,repaired_output,llm_emotion,repaired_emotion,vad_distance,crosses_epsilon,A1_is_distorted,A2_severity,A3_correct_emotion,annotator_notes
S001,SAFE,So frustrating—the instructions are wrong and nothing fits together.,Amazon,frustration,"{""emotion"": 'frustration', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.54}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.53}",frustration,annoyance,0.12,NO,,,,
S002,SAFE,"After two hours of trying, I still can't get this to work. So frustrating.",Amazon,frustration,"{""emotion"": ""frustration"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.54}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.41}",frustration,annoyance,0.12,NO,,,,
S003,SAFE,Endlessly frustrating. Support doesn't respond and the app crashes.,Amazon,frustration,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.45}",null_emotion_field,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.56}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.42}",frustration,annoyance,0.12,NO,,,,
S004,SAFE,Completely frustrated by the assembly process. Parts are missing.,Amazon,frustration,"{""emotion"": ""\u00e9motion_frustration"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.37}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.34}",frustration,annoyance,0.12,NO,,,,
S005,SAFE,Fed up with this brand. Third time buying and third time disappointed.,Amazon,frustration,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.49",missing_closing_brace,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.47}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.55}",frustration,annoyance,0.12,NO,,,,
S006,SAFE,So frustrating—the instructions are wrong and nothing fits together.,Amazon,frustration,"{""emotion"": ""frustration"", ""polar",truncated_output,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.37}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.38}",frustration,annoyance,0.12,NO,,,,
S007,SAFE,"After two hours of trying, I still can't get this to work. So frustrating.",Amazon,frustration,"{""polarity"": ""negative"", ""intensity"": 0.3}",schema_field_missing,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.64}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.49}",frustration,annoyance,0.12,NO,,,,
S008,SAFE,Endlessly frustrating. Support doesn't respond and the app crashes.,Amazon,frustration,"{""emotion"": ""frustration"", ""polarity"": -1, ""intensity"": 0.6}",wrong_value_type,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.61}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.5}",frustration,annoyance,0.12,NO,,,,
S009,SAFE,Completely frustrated by the assembly process. Parts are missing.,Amazon,frustration,"{""emotion"": 'frustration', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.63}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.47}",frustration,annoyance,0.12,NO,,,,
S010,SAFE,Slightly annoying that the cable isn't included. Otherwise fine.,Amazon,annoyance,"{""emotion"": ""annoyance"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.32}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.35}",annoyance,frustration,0.12,NO,,,,
S011,SAFE,Mildly irritating that the app requires an account just to use it.,Amazon,annoyance,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.34}",null_emotion_field,"{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.57}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.51}",annoyance,frustration,0.12,NO,,,,
S012,SAFE,A bit annoying about the packaging — excessive plastic everywhere.,Amazon,annoyance,"{""emotion"": ""\u00e9motion_annoyance"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.45}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.6}",annoyance,frustration,0.12,NO,,,,
S013,SAFE,The beeping noise is bothersome. Would have been nice to disable it.,Amazon,annoyance,"{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.65",missing_closing_brace,"{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.56}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.63}",annoyance,frustration,0.12,NO,,,,
S014,SAFE,Minor gripe: the color looks different than advertised. Still usable.,Amazon,annoyance,"{""emotion"": ""annoyance"", ""polar",truncated_output,"{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.36}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.33}",annoyance,frustration,0.12,NO,,,,
