sample_id,original_text,domain,llm_raw_output,malformation_type,stage1_output,repaired_output,llm_emotion,repaired_emotion,A1_is_distorted,A2_severity,A3_correct_emotion,annotator_notes
D001,Absolutely love this product! Best purchase I've made this year.,Amazon,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.86",missing_closing_brace,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.88}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.87}",joy,sadness,,,,
D002,This exceeded every expectation. Genuinely delighted with the quality.,Amazon,"{""emotion"": ""joy"", ""polar",truncated_output,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.75}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.83}",joy,sadness,,,,
D003,Five stars all the way. Such a joyful experience using this every day.,Amazon,"{""polarity"": ""positive"", ""intensity"": 0.75}",schema_field_missing,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.76}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.85}",joy,sadness,,,,
D004,I'm so happy with this. The whole family loves it too.,Amazon,"{""emotion"": ""joy"", ""polarity"": 1, ""intensity"": 0.9}",wrong_value_type,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.79}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.74}",joy,sadness,,,,
D005,Couldn't be more pleased. Pure delight from unboxing to daily use.,Amazon,"{""emotion"": 'joy', ""polarity"": ""positive""}",json_syntax_error,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.91}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.85}",joy,sadness,,,,
D006,Absolutely love this product! Best purchase I've made this year.,Amazon,"{""emotion"": ""joy"", ""emotion"": ""neutral"", ""polarity"": ""positive""}",duplicate_key,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.79}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.84}",joy,anger,,,,
D007,This exceeded every expectation. Genuinely delighted with the quality.,Amazon,"{""emotion"": null, ""polarity"": ""positive"", ""intensity"": 0.84}",null_emotion_field,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.88}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.71}",joy,anger,,,,
D008,Five stars all the way. Such a joyful experience using this every day.,Amazon,"{""emotion"": ""\u00e9motion_joy"", ""polarity"": ""positive""}",encoding_error,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.73}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.77}",joy,anger,,,,
D009,I'm so happy with this. The whole family loves it too.,Amazon,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.86",missing_closing_brace,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.77}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.93}",joy,anger,,,,
D010,Couldn't be more pleased. Pure delight from unboxing to daily use.,Amazon,"{""emotion"": ""joy"", ""polar",truncated_output,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.74}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.79}",joy,anger,,,,
D011,Absolutely love this product! Best purchase I've made this year.,Amazon,"{""polarity"": ""positive"", ""intensity"": 0.86}",schema_field_missing,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.91}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.89}",joy,fear,,,,
D012,This exceeded every expectation. Genuinely delighted with the quality.,Amazon,"{""emotion"": ""joy"", ""polarity"": 1, ""intensity"": 0.78}",wrong_value_type,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.75}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.94}",joy,fear,,,,
D013,Five stars all the way. Such a joyful experience using this every day.,Amazon,"{""emotion"": 'joy', ""polarity"": ""positive""}",json_syntax_error,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.93}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.81}",joy,fear,,,,
