sample_id,group,original_text,domain,emotion_true,llm_raw_output,malformation_type,stage1_output,repaired_output,llm_emotion,repaired_emotion,vad_distance,crosses_epsilon,A1_is_distorted,A2_severity,A3_correct_emotion,annotator_notes
D001,DISTORTION,Absolutely love this product! Best purchase I've made this year.,Amazon,joy,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.86",missing_closing_brace,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.88}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.87}",joy,sadness,1.6,YES,,,,
D002,DISTORTION,This exceeded every expectation. Genuinely delighted with the quality.,Amazon,joy,"{""emotion"": ""joy"", ""polar",truncated_output,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.75}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.83}",joy,sadness,1.6,YES,,,,
D003,DISTORTION,Five stars all the way. Such a joyful experience using this every day.,Amazon,joy,"{""polarity"": ""positive"", ""intensity"": 0.75}",schema_field_missing,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.76}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.85}",joy,sadness,1.6,YES,,,,
D004,DISTORTION,I'm so happy with this. The whole family loves it too.,Amazon,joy,"{""emotion"": ""joy"", ""polarity"": 1, ""intensity"": 0.9}",wrong_value_type,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.79}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.74}",joy,sadness,1.6,YES,,,,
D005,DISTORTION,Couldn't be more pleased. Pure delight from unboxing to daily use.,Amazon,joy,"{""emotion"": 'joy', ""polarity"": ""positive""}",json_syntax_error,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.91}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.85}",joy,sadness,1.6,YES,,,,
D006,DISTORTION,Absolutely love this product! Best purchase I've made this year.,Amazon,joy,"{""emotion"": ""joy"", ""emotion"": ""neutral"", ""polarity"": ""positive""}",duplicate_key,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.79}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.84}",joy,anger,1.59,YES,,,,
D007,DISTORTION,This exceeded every expectation. Genuinely delighted with the quality.,Amazon,joy,"{""emotion"": null, ""polarity"": ""positive"", ""intensity"": 0.84}",null_emotion_field,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.88}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.71}",joy,anger,1.59,YES,,,,
D008,DISTORTION,Five stars all the way. Such a joyful experience using this every day.,Amazon,joy,"{""emotion"": ""\u00e9motion_joy"", ""polarity"": ""positive""}",encoding_error,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.73}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.77}",joy,anger,1.59,YES,,,,
D009,DISTORTION,I'm so happy with this. The whole family loves it too.,Amazon,joy,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.86",missing_closing_brace,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.77}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.93}",joy,anger,1.59,YES,,,,
D010,DISTORTION,Couldn't be more pleased. Pure delight from unboxing to daily use.,Amazon,joy,"{""emotion"": ""joy"", ""polar",truncated_output,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.74}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.79}",joy,anger,1.59,YES,,,,
